Total Device Time (s),Host Time (s),grid.x,block.x,grid.y,block.y,dimx,dimy
0.88,0.545,656,25,565,29,25,29
0.886,0.546,656,25,547,30,25,30
0.886,0.55,656,25,529,31,25,31
0.849,0.543,656,25,512,32,25,32
0.881,0.581,631,26,16384,1,26,1
0.85,0.542,631,26,8192,2,26,2
0.9,0.543,631,26,5462,3,26,3
0.868,0.616,631,26,4096,4,26,4
0.886,0.543,631,26,3277,5,26,5
0.855,0.543,631,26,2731,6,26,6
0.859,0.543,631,26,2341,7,26,7
0.864,0.544,631,26,2048,8,26,8
0.892,0.544,631,26,1821,9,26,9
0.904,0.543,631,26,1639,10,26,10
0.858,0.545,631,26,1490,11,26,11
0.868,0.544,631,26,1366,12,26,12
0.878,0.544,631,26,1261,13,26,13
0.86,0.544,631,26,1171,14,26,14
0.884,0.543,631,26,1093,15,26,15
0.854,0.543,631,26,1024,16,26,16
0.88,0.543,631,26,964,17,26,17
0.907,0.545,631,26,911,18,26,18
0.887,0.544,631,26,863,19,26,19
0.914,0.542,631,26,820,20,26,20
0.87,0.577,631,26,781,21,26,21
0.899,0.542,631,26,745,22,26,22
0.894,0.545,631,26,713,23,26,23
0.887,0.543,631,26,683,24,26,24
0.726,0.545,631,26,656,25,26,25
0.875,0.545,631,26,631,26,26,26
0.859,0.436,631,26,607,27,26,27
0.907,0.546,631,26,586,28,26,28
0.871,0.545,631,26,565,29,26,29
0.856,0.542,631,26,547,30,26,30
0.859,0.543,631,26,529,31,26,31
0.87,0.545,631,26,512,32,26,32
0.856,0.545,607,27,16384,1,27,1
0.889,0.586,607,27,8192,2,27,2
0.888,0.544,607,27,5462,3,27,3
0.856,0.546,607,27,4096,4,27,4
0.898,0.547,607,27,3277,5,27,5
0.862,0.326,607,27,2731,6,27,6
0.906,0.544,607,27,2341,7,27,7
0.861,0.543,607,27,2048,8,27,8
0.885,0.543,607,27,1821,9,27,9
0.885,0.543,607,27,1639,10,27,10
0.884,0.544,607,27,1490,11,27,11
0.847,0.546,607,27,1366,12,27,12
0.858,0.301,607,27,1261,13,27,13
0.891,0.544,607,27,1171,14,27,14
0.85,0.544,607,27,1093,15,27,15
0.893,0.54,607,27,1024,16,27,16
0.851,0.544,607,27,964,17,27,17
0.849,0.544,607,27,911,18,27,18
0.889,0.544,607,27,863,19,27,19
0.853,0.542,607,27,820,20,27,20
0.877,0.545,607,27,781,21,27,21
0.868,0.543,607,27,745,22,27,22
0.89,0.543,607,27,713,23,27,23
0.808,0.544,607,27,683,24,27,24
0.906,0.545,607,27,656,25,27,25
0.885,0.545,607,27,631,26,27,26
0.89,0.542,607,27,607,27,27,27
0.851,0.576,607,27,586,28,27,28
0.882,0.542,607,27,565,29,27,29
0.86,0.544,607,27,547,30,27,30
0.898,0.542,607,27,529,31,27,31
0.857,0.542,607,27,512,32,27,32
0.893,0.542,586,28,16384,1,28,1
0.894,0.543,586,28,8192,2,28,2
0.901,0.543,586,28,5462,3,28,3
0.849,0.545,586,28,4096,4,28,4
0.867,0.543,586,28,3277,5,28,5
0.849,0.541,586,28,2731,6,28,6
0.85,0.541,586,28,2341,7,28,7
0.888,0.545,586,28,2048,8,28,8
0.847,0.543,586,28,1821,9,28,9
0.856,0.543,586,28,1639,10,28,10
0.863,0.542,586,28,1490,11,28,11
0.893,0.543,586,28,1366,12,28,12
0.887,0.486,586,28,1261,13,28,13
0.89,0.543,586,28,1171,14,28,14
0.846,0.546,586,28,1093,15,28,15
0.846,0.544,586,28,1024,16,28,16
0.843,0.542,586,28,964,17,28,17
0.885,0.541,586,28,911,18,28,18
0.883,0.542,586,28,863,19,28,19
0.851,0.544,586,28,820,20,28,20
0.893,0.543,586,28,781,21,28,21
0.857,0.543,586,28,745,22,28,22
0.872,0.544,586,28,713,23,28,23
0.898,0.543,586,28,683,24,28,24
0.851,0.544,586,28,656,25,28,25
0.894,0.542,586,28,631,26,28,26
0.888,0.543,586,28,607,27,28,27
0.856,0.543,586,28,586,28,28,28
0.89,0.544,586,28,565,29,28,29
0.816,0.544,586,28,547,30,28,30
0.81,0.543,586,28,529,31,28,31
0.86,0.543,586,28,512,32,28,32
0.871,0.544,565,29,16384,1,29,1
0.907,0.544,565,29,8192,2,29,2
0.891,0.545,565,29,5462,3,29,3
0.858,0.544,565,29,4096,4,29,4
0.861,0.543,565,29,3277,5,29,5
0.915,0.546,565,29,2731,6,29,6
0.889,0.544,565,29,2341,7,29,7
0.89,0.544,565,29,2048,8,29,8
0.862,0.529,565,29,1821,9,29,9
0.882,0.543,565,29,1639,10,29,10
0.886,0.543,565,29,1490,11,29,11
0.852,0.542,565,29,1366,12,29,12
0.879,0.544,565,29,1261,13,29,13
0.89,0.542,565,29,1171,14,29,14
0.887,0.465,565,29,1093,15,29,15
0.889,0.543,565,29,1024,16,29,16
0.812,0.461,565,29,964,17,29,17
0.888,0.543,565,29,911,18,29,18
0.905,0.544,565,29,863,19,29,19
0.889,0.544,565,29,820,20,29,20
0.86,0.543,565,29,781,21,29,21
0.889,0.541,565,29,745,22,29,22
0.885,0.542,565,29,713,23,29,23
0.877,0.541,565,29,683,24,29,24
0.858,0.542,565,29,656,25,29,25
0.881,0.542,565,29,631,26,29,26
0.811,0.544,565,29,607,27,29,27
0.882,0.544,565,29,586,28,29,28
0.858,0.543,565,29,565,29,29,29
0.902,0.543,565,29,547,30,29,30
0.9,0.543,565,29,529,31,29,31
0.894,0.543,565,29,512,32,29,32
0.883,0.548,547,30,16384,1,30,1
0.882,0.355,547,30,8192,2,30,2
0.864,0.543,547,30,5462,3,30,3
0.844,0.544,547,30,4096,4,30,4
0.887,0.543,547,30,3277,5,30,5
0.848,0.544,547,30,2731,6,30,6
0.85,0.545,547,30,2341,7,30,7
0.848,0.544,547,30,2048,8,30,8
0.877,0.543,547,30,1821,9,30,9
0.875,0.544,547,30,1639,10,30,10
0.804,0.543,547,30,1490,11,30,11
0.845,0.544,547,30,1366,12,30,12
0.852,0.543,547,30,1261,13,30,13
0.891,0.543,547,30,1171,14,30,14
0.85,0.544,547,30,1093,15,30,15
0.898,0.542,547,30,1024,16,30,16
0.883,0.543,547,30,964,17,30,17
0.813,0.542,547,30,911,18,30,18
0.903,0.543,547,30,863,19,30,19
0.895,0.542,547,30,820,20,30,20
0.881,0.545,547,30,781,21,30,21
0.862,0.542,547,30,745,22,30,22
0.895,0.543,547,30,713,23,30,23
0.876,0.543,547,30,683,24,30,24
0.888,0.543,547,30,656,25,30,25
0.882,0.433,547,30,631,26,30,26
0.713,0.386,547,30,607,27,30,27
0.886,0.542,547,30,586,28,30,28
0.878,0.544,547,30,565,29,30,29
0.901,0.543,547,30,547,30,30,30
0.858,0.542,547,30,529,31,30,31
0.876,0.546,547,30,512,32,30,32
0.843,0.545,529,31,16384,1,31,1
0.894,0.543,529,31,8192,2,31,2
0.885,0.545,529,31,5462,3,31,3
0.858,0.544,529,31,4096,4,31,4
0.878,0.544,529,31,3277,5,31,5
0.88,0.544,529,31,2731,6,31,6
0.859,0.543,529,31,2341,7,31,7
0.885,0.543,529,31,2048,8,31,8
0.868,0.544,529,31,1821,9,31,9
0.884,0.547,529,31,1639,10,31,10
0.807,0.545,529,31,1490,11,31,11
0.888,0.543,529,31,1366,12,31,12
0.884,0.582,529,31,1261,13,31,13
0.882,0.542,529,31,1171,14,31,14
0.88,0.636,529,31,1093,15,31,15
0.889,0.544,529,31,1024,16,31,16
0.864,0.542,529,31,964,17,31,17
0.816,0.545,529,31,911,18,31,18
0.851,0.545,529,31,863,19,31,19
0.708,0.313,529,31,820,20,31,20
0.904,0.542,529,31,781,21,31,21
0.876,0.565,529,31,745,22,31,22
0.899,0.543,529,31,713,23,31,23
0.738,0.314,529,31,683,24,31,24
0.895,0.543,529,31,656,25,31,25
0.828,0.43,529,31,631,26,31,26
0.88,0.541,529,31,607,27,31,27
0.889,0.544,529,31,586,28,31,28
0.878,0.544,529,31,565,29,31,29
0.896,0.545,529,31,547,30,31,30
0.884,0.546,529,31,529,31,31,31
0.882,0.544,529,31,512,32,31,32
0.842,0.544,512,32,16384,1,32,1
0.881,0.545,512,32,8192,2,32,2
0.853,0.544,512,32,5462,3,32,3
0.878,0.542,512,32,4096,4,32,4
0.883,0.544,512,32,3277,5,32,5
0.891,0.542,512,32,2731,6,32,6
0.865,0.549,512,32,2341,7,32,7
0.885,0.542,512,32,2048,8,32,8
0.86,0.543,512,32,1821,9,32,9
0.902,0.543,512,32,1639,10,32,10
0.854,0.543,512,32,1490,11,32,11
0.885,0.543,512,32,1366,12,32,12
0.894,0.543,512,32,1261,13,32,13
0.856,0.543,512,32,1171,14,32,14
0.847,0.542,512,32,1093,15,32,15
0.846,0.544,512,32,1024,16,32,16
0.899,0.543,512,32,964,17,32,17
0.862,0.545,512,32,911,18,32,18
0.889,0.543,512,32,863,19,32,19
0.847,0.544,512,32,820,20,32,20
0.854,0.542,512,32,781,21,32,21
0.841,0.296,512,32,745,22,32,22
0.91,0.544,512,32,713,23,32,23
0.901,0.543,512,32,683,24,32,24
0.885,0.543,512,32,656,25,32,25
0.893,0.542,512,32,631,26,32,26
0.903,0.542,512,32,607,27,32,27
0.771,0.534,512,32,586,28,32,28
0.897,0.543,512,32,565,29,32,29
0.856,0.543,512,32,547,30,32,30
0.908,0.544,512,32,529,31,32,31
0.909,0.542,512,32,512,32,32,32
